Date,Close,Shares traded
"Monday, January 2, 2012",4636.75,108460668
"Tuesday, January 3, 2012",4765.3,146621115
"Wednesday, January 4, 2012",4749.65,165938849
"Thursday, January 5, 2012",4749.95,177862936
"Friday, January 6, 2012",4754.1,176057282
"Saturday, January 7, 2012",4746.9,18783880
"Monday, January 9, 2012",4742.8,147534537
"Tuesday, January 10, 2012",4849.55,201661174
"Wednesday, January 11, 2012",4860.95,209079758
"Thursday, January 12, 2012",4831.25,183068697
"Friday, January 13, 2012",4866,230940604
"Monday, January 16, 2012",4873.9,160479891
"Tuesday, January 17, 2012",4967.3,223004183
"Wednesday, January 18, 2012",4955.8,211198796
"Thursday, January 19, 2012",5018.4,203487608
"Friday, January 20, 2012",5048.6,221048007
"Monday, January 23, 2012",5046.25,158177571
"Tuesday, January 24, 2012",5127.35,202006565
"Wednesday, January 25, 2012",5158.3,219175709
"Friday, January 27, 2012",5204.7,215923377
"Monday, January 30, 2012",5087.3,181141437
"Tuesday, January 31, 2012",5199.25,215770719
"Wednesday, February 1, 2012",5235.7,234899358
"Thursday, February 2, 2012",5269.9,337960651
"Friday, February 3, 2012",5325.85,217358188
"Monday, February 6, 2012",5361.65,215080487
"Tuesday, February 7, 2012",5335.15,181194561
"Wednesday, February 8, 2012",5368.15,236135416
"Thursday, February 9, 2012",5412.35,255306965
"Friday, February 10, 2012",5381.6,225352093
"Monday, February 13, 2012",5390.2,181561910
"Tuesday, February 14, 2012",5416.05,201409996
"Wednesday, February 15, 2012",5531.95,314366096
"Thursday, February 16, 2012",5521.95,270060477
"Friday, February 17, 2012",5564.3,329307516
"Tuesday, February 21, 2012",5607.15,231132126
"Wednesday, February 22, 2012",5505.35,263013427
"Thursday, February 23, 2012",5483.3,307246519
"Friday, February 24, 2012",5429.3,364660634
"Monday, February 27, 2012",5281.2,235318961
"Tuesday, February 28, 2012",5375.5,208133889
"Wednesday, February 29, 2012",5385.2,226022232
"Thursday, March 1, 2012",5339.75,196867905
"Friday, March 2, 2012",5359.35,185021526
"Saturday, March 3, 2012",5359.4,16770991
"Monday, March 5, 2012",5280.35,196421155
"Tuesday, March 6, 2012",5222.4,290396014
"Wednesday, March 7, 2012",5220.45,230726017
"Friday, March 9, 2012",5333.55,203005845
"Monday, March 12, 2012",5359.55,176668237
"Tuesday, March 13, 2012",5429.5,179965296
"Wednesday, March 14, 2012",5463.9,181714070
"Thursday, March 15, 2012",5380.5,160257651
"Friday, March 16, 2012",5317.9,267521147
"Monday, March 19, 2012",5257.05,179877454
"Tuesday, March 20, 2012",5274.85,181345285
"Wednesday, March 21, 2012",5364.95,199787985
"Thursday, March 22, 2012",5228.45,205581062
"Friday, March 23, 2012",5278.2,172738574
"Monday, March 26, 2012",5184.25,169785835
"Tuesday, March 27, 2012",5243.15,208775421
"Wednesday, March 28, 2012",5194.75,145803597
"Thursday, March 29, 2012",5178.85,242557889
"Friday, March 30, 2012",5295.55,164790056
"Monday, April 2, 2012",5317.9,134538287
"Tuesday, April 3, 2012",5358.5,152496489
"Wednesday, April 4, 2012",5322.9,122106162
"Monday, April 9, 2012",5234.4,111914936
"Tuesday, April 10, 2012",5243.6,156106794
"Wednesday, April 11, 2012",5226.85,167013527
"Thursday, April 12, 2012",5276.85,152684788
"Friday, April 13, 2012",5207.45,164225858
"Monday, April 16, 2012",5226.2,119730347
"Tuesday, April 17, 2012",5289.7,178895417
"Wednesday, April 18, 2012",5300,152743439
"Thursday, April 19, 2012",5332.4,133549895
"Friday, April 20, 2012",5290.85,135252751
"Monday, April 23, 2012",5200.6,138042341
"Tuesday, April 24, 2012",5222.65,155674654
"Wednesday, April 25, 2012",5202,142910739
"Thursday, April 26, 2012",5189,185899437
"Friday, April 27, 2012",5190.6,128759445
"Saturday, April 28, 2012",5209,6555703
"Monday, April 30, 2012",5248.15,108138550
"Wednesday, May 2, 2012",5239.15,119333288
"Thursday, May 3, 2012",5188.4,118573998
"Friday, May 4, 2012",5086.85,153304687
"Monday, May 7, 2012",5114.15,168271798
"Tuesday, May 8, 2012",4999.95,164262546
"Wednesday, May 9, 2012",4974.8,180441209
"Thursday, May 10, 2012",4965.7,141031231
"Friday, May 11, 2012",4928.9,138526070
"Monday, May 14, 2012",4907.8,126951751
