ds,y,Shares traded,Moving_average_50,RSI_14,upper_band_20,middle_band_20,lower_band_20,MACD,MACD_signal,MACD_histogram,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force)",Sentiment,Shanghai Stock Exchange,Dow Jones Industrial Average
2012-01-02,4636.75,108460668,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,0.0,0.0,0.0,5.4564,9.5,8.1,-0.0772,2169.389892578125,12418.419921875
2012-01-03,4765.3,146621115,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,10.254700854699877,2.0509401709399753,8.203760683759901,5.4564,9.5,8.1,0.8555,2169.389892578125,12418.419921875
2012-01-04,4749.65,165938849,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,16.923714904910412,5.025495117734063,11.898219787176348,5.4564,9.5,8.1,0.9001,2169.389892578125,12418.419921875
2012-01-05,4749.95,177862936,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,21.979794688922084,8.416355031971667,13.563439656950417,5.4564,9.5,8.1,-0.0516,2148.451904296875,12415.7001953125
2012-01-06,4754.1,176057282,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,26.021682899314328,11.937420605440199,14.08426229387413,5.4564,9.5,8.1,0.7269,2163.39501953125,12359.919921875
2012-01-07,4746.9,18783880,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,28.31750206245033,15.213436896842225,13.104065165608105,5.4564,9.5,8.1,0.5106,2163.39501953125,12359.919921875
2012-01-09,4742.8,147534537,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,29.46644867673149,18.064039252820077,11.402409423911411,5.4564,9.5,8.1,-0.1531,2225.889892578125,12392.6904296875
2012-01-10,4849.55,201661174,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,38.546490056275616,22.160529413511185,16.38596064276443,5.4564,9.5,8.1,-0.6808,2285.743896484375,12462.4697265625
2012-01-11,4860.95,209079758,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,46.13060805955138,26.954545142719226,19.17606291683215,5.4564,9.5,8.1,0.9217,2276.0458984375,12449.4501953125
2012-01-12,4831.25,183068697,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,49.177645149758064,31.399165144126997,17.778480005631067,5.4564,9.5,8.1,0.9101,2275.010009765625,12471.01953125
2012-01-13,4866.0,230940604,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,53.776575688812045,35.87464725306401,17.901928435748033,5.4564,9.5,8.1,0.9866,2244.580078125,12422.0595703125
2012-01-16,4873.9,160479891,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,57.39708735685872,40.17913527382296,17.21795208303576,5.4564,9.5,8.1,0.9001,2206.193115234375,12422.0595703125
2012-01-17,4967.3,223004183,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,67.03028496166098,45.549365211390565,21.480919750270417,5.4564,9.5,8.1,0.9799,2298.375,12482.0703125
2012-01-18,4955.8,211198796,5177.939,84.34153233144762,5210.39168147933,4897.6900000000005,4584.988318520671,72.89640519377917,51.01877320786829,21.87763198591088,5.4564,9.5,8.1,-0.1119,2266.384033203125,12578.9501953125
2012-01-19,5018.4,203487608,5177.939,87.21703961930818,5210.39168147933,4897.6900000000005,4584.988318520671,81.65537226801735,57.14609301989811,24.509279248119235,5.4564,9.5,8.1,0.9719,2296.074951171875,12623.98046875
